alcohol	chlorides	citric acid	density	fixed acidity	free sulfur dioxide	pH	quality	residual sugar	sulphates	total sulfur dioxide	type	volatile acidity
9.5	0.048	0.31	0.993	6.1	23	3.22	6	0.9	0.77	170	1	0.4
11	0.036	0.36	0.9939	7.5	45	3.03	5	7	0.33	164	1	0.27
11	0.036	0.36	0.9939	7.5	45	3.03	5	7	0.33	164	1	0.27
8.7	0.046	0.41	0.9998	7.1	39	3.32	5	17.8	0.39	145	1	0.24
8.7	0.046	0.41	0.9998	7.1	39	3.32	5	17.8	0.39	145	1	0.24
9	0.058	0.38	0.9979	7.2	55	3.09	6	14.3	0.44	194	1	0.23
9.6	0.039	0.21	0.9982	6.2	28	3.48	6	15.55	0.64	159	1	0.25
10	0.037	0.14	0.996	6.1	18	3.38	5	10.4	0.45	119	1	0.41
8.7	0.043	0.56	0.9975	6.9	40	3.14	5	11.2	0.46	142	1	0.4
11.4	0.037	0.38	0.9904	5.8	3	3.28	4	0.9	0.34	75	1	0.36
10.2	0.036	0.4	0.9944	6.9	15	3.17	5	8.2	0.33	95	1	0.28
9.6	0.045	0.4	0.9977	7.2	66	3.08	6	13.6	0.59	231	1	0.29
10.6	0.038	0.35	0.9912	6.2	22	3.1	6	1.2	0.48	167	1	0.24
9.7	0.045	0.07	0.9944	5.4	36	3.34	6	7	0.57	147	1	0.59
12.6	0.034	0.36	0.99	7	22	3.19	8	2.8	0.38	112	1	0.24
8.8	0.056	0.25	0.9961	7.3	47	3.08	5	7.2	0.47	180	1	0.32
9.7	0.053	0.33	0.9978	6.5	51	3.22	6	15.7	0.51	190	1	0.28
9	0.058	0.39	0.9979	7.2	49	2.98	7	14.2	0.48	192	1	0.23
9	0.058	0.39	0.9979	7.2	49	2.98	7	14.2	0.48	192	1	0.23
9.4	0.046	0.27	0.9934	6.3	34	3.37	6	1.2	0.54	175	1	0.33
9.4	0.045	0.7	0.9976	8.3	33	3.09	5	10.6	0.57	169	1	0.39
10	0.046	0.44	0.997	7.5	65	3.17	6	11.3	0.45	146	1	0.17
9.9	0.057	0.24	0.9949	7.3	41	3.2	6	6.8	0.41	163	1	0.41
9.9	0.057	0.24	0.9949	7.3	41	3.2	6	6.8	0.41	163	1	0.41
11.5	0.035	0.27	0.9917	6.1	16	3.4	7	2.1	0.71	100	1	0.36
10	0.042	0.41	0.9954	7.8	37	3.36	6	3.7	0.45	149	1	0.25
10.3	0.041	0.24	0.9927	6	15	3.61	7	1.1	0.61	65	1	0.1
10.4	0.036	0.41	0.992	7.2	33	3.17	5	1.3	0.51	85	1	0.21
11.8	0.033	0.3	0.9906	6.3	16	3.28	6	1.8	0.4	91	1	0.23
9.6	0.05	0.33	0.9942	7.1	33	3.28	6	4.6	0.4	131	1	0.145
9	0.063	0.37	0.9978	7.3	48	2.89	6	14.3	0.38	191	1	0.22
9.5	0.05	0.33	0.9927	6.1	24	3.15	6	1.1	0.78	169	1	0.36
10.6	0.04	0.34	0.9935	6.9	43	3.2	6	4.7	0.59	161	1	0.24
9.7	0.05	0.3	0.9942	6.8	40	3.4	6	5.3	0.39	127	1	0.15
9	0.063	0.37	0.9978	7.3	48	2.89	6	14.3	0.38	191	1	0.22
12.3	0.028	0.32	0.9912	6	29	3.4	7	3.5	0.71	113	1	0.26
10	0.048	0.19	0.9934	6.6	17	3.34	5	0.8	0.56	204	1	0.905
10.4	0.037	0.28	0.9919	6.4	12	3.32	7	1.5	0.51	119	1	0.31
9.2	0.051	0.28	0.9969	7.5	26	3.12	6	9.6	0.53	157	1	0.35
11.3	0.027	0.39	0.991	6	20	3.38	7	3.2	0.39	125	1	0.36
10.1	0.04	0.35	0.9941	6.3	82.5	3.12	5	5.9	0.66	260	1	0.39
11.4	0.037	0.4	0.9917	6.3	35	3.46	6	1.5	0.5	107	1	0.2
8.8	0.044	0.51	0.9976	6.8	62	3.19	5	11.8	0.44	163	1	0.37
12.6	0.035	0.31	0.9918	6.8	33	3.24	6	6.3	0.66	170	1	0.22
9.4	0.049	0.24	0.9932	6.9	13	3.17	5	1.2	0.51	125	1	0.49
9.6	0.04	0.36	0.998	7.3	38	3.3	6	12.7	0.79	140	1	0.28
9.8	0.041	0.27	0.9927	7.4	27	3.19	6	1.2	0.33	99	1	0.21
12.7	0.03	0.31	0.9898	7	41	3.16	7	2.7	0.37	136	1	0.22
10.4	0.045	0.28	0.9954	7	37	3.25	6	8.6	0.54	221	1	0.21
10.4	0.045	0.28	0.9954	7	37	3.25	6	8.7	0.54	222	1	0.21
9.8	0.048	0.1	0.9927	6.4	19	3.21	5	1.1	0.38	84	1	0.34
9.9	0.045	0.34	0.9934	7.4	73.5	3.18	7	2.3	0.61	214	1	0.155
9.2	0.108	0.09	0.9938	7.2	16	3.07	4	1.5	0.57	151	1	0.55
12.1	0.028	0.36	0.9922	7	31	3.35	8	7.1	0.47	104	1	0.23
12.2	0.027	0.37	0.992	6.9	24	3.38	7	6.2	0.49	97	1	0.2
11	0.031	0.36	0.9975	6.9	40	3.2	6	20.8	0.33	139	1	0.24
9.8	0.048	0.24	0.9982	6.5	24	3.44	6	14	0.53	113	1	0.41
10.1	0.038	0.25	0.9921	6.1	34	3.24	5	1.2	0.44	128	1	0.2
10.5	0.046	0.27	0.9924	6	32	3.41	7	1.6	0.51	113	1	0.27
12.9	0.022	0.31	0.9892	6.3	11	3.3	7	1.5	0.4	82	1	0.23
9.5	0.056	0.27	0.9956	7.1	26	2.95	5	8.6	0.52	111	1	0.21
8.5	0.059	0.35	0.9971	6.1	83	3.37	5	9.1	0.5	249	1	0.43
9.4	0.044	0.21	0.9932	6.8	15	3.17	6	2.2	0.39	68	1	0.32
9.4	0.03	0.22	0.9938	5.5	30	3.24	6	4.5	0.36	102	1	0.16
9.5	0.029	0.51	0.9965	7	55	3.03	5	11	0.61	227	1	0.24
9.2	0.073	0.13	0.994	7.1	21	2.97	6	1.7	0.58	165	1	0.55
8.9	0.047	0.31	0.9962	7.4	52	3.13	6	7.6	0.45	177	1	0.26
12.5	0.025	0.13	0.9913	5.7	28	3.33	6	7	0.48	173	1	0.44
12.5	0.026	0.32	0.9904	6.8	43	3.29	6	1.6	0.54	147	1	0.23
9.9	0.037	0.29	0.9937	6.5	8	3.19	5	2.25	0.62	210	1	0.3
8.9	0.053	0.31	0.998	7.8	46	3.06	6	12.2	0.53	140	1	0.18
9.8	0.039	0.26	0.9942	7.9	8	3.05	5	2.1	0.74	143	1	0.19
9.8	0.039	0.26	0.9942	7.9	8	3.05	5	2.1	0.74	143	1	0.19
12.6	0.034	0.22	0.9898	6.1	32	3.36	6	1.8	0.44	116	1	0.28
9	0.067	0.36	0.9976	7.4	53	3.01	6	13.2	0.48	178	1	0.25
9	0.047	0.17	0.9983	6.8	49	3.21	6	13.9	0.51	162	1	0.28
11.8	0.052	0.42	0.9922	7.7	10	3.3	6	1.9	0.49	87	1	0.22
8.7	0.05	0.65	0.9976	7.2	76	3.16	5	10.4	0.42	192	1	0.46
9.6	0.05	0.51	0.9976	7	40	3.07	7	13.6	0.52	168	1	0.3
12.1	0.028	0.34	0.9901	7.8	32	3	7	1.6	0.38	118	1	0.28
9.9	0.049	0.42	0.9953	6.7	31	3.12	7	9.1	0.74	150	1	0.21
10.1	0.057	0.1	0.9924	5.9	39	3.24	5	1.6	0.48	128	1	0.37
9.2	0.063	0.27	0.9969	7.7	39	3.09	6	8.8	0.63	184	1	0.34
9.4	0.04	0.27	0.9948	6.5	44	3.19	6	5.2	0.69	179	1	0.28
12.7	0.032	0.34	0.99	7.2	49	3.16	7	2.7	0.39	151	1	0.2
12.7	0.033	0.33	0.9899	7.1	48	3.15	7	2.8	0.38	153	1	0.22
9.7	0.042	0.22	0.9954	7.4	26	2.86	6	10.7	0.36	81	1	0.24
10.1	0.046	0.3	0.993	6.6	32	3.42	7	1.6	0.51	134	1	0.25
10.8	0.036	0.27	0.9926	6.9	42	3.42	7	2.1	0.49	121	1	0.28
9.4	0.043	0.33	0.9968	6.9	28	3.2	5	10.1	0.52	152	1	0.41
10.8	0.034	0.37	0.9928	7	26	3.17	6	4.9	0.44	127	1	0.29
11.5	0.036	0.4	0.9909	6.9	14	3.08	7	1.4	0.68	55	1	0.19
9.4	0.18	0.35	0.9937	6.7	36	3.11	6	1.4	0.54	160	1	0.3
10.8	0.045	0.4	0.9914	7.2	31	2.88	6	1.4	0.38	106	1	0.24
10.8	0.03	0.07	0.9905	6.4	10	2.97	5	1.1	0.28	131	1	0.45
9.8	0.052	0.49	0.9924	6.3	34	2.99	6	1.5	0.61	134	1	0.26
9.5	0.044	0.25	0.9993	6.1	48	3.34	5	17.75	0.48	161	1	0.28
10.7	0.061	0.35	0.9965	7.4	12	3.48	6	5.7	0.69	94	1	0.37
9.3	0.066	0.06	0.9934	6	27	3.26	5	1.4	0.55	128	1	0.36
10.8	0.037	0.28	0.9931	6.2	39	3.41	7	4.7	0.46	133	1	0.17
9.5	0.061	0.72	0.993	6.5	7	3.09	4	1.1	0.57	151	1	0.33
9.1	0.067	0.34	0.9986	7.1	35	3.07	7	14.4	0.53	189	1	0.26
9.3	0.047	0.5	0.9966	6.4	60	3.18	5	11.6	0.57	211	1	0.24
9	0.057	0.25	0.9981	5.9	48	3.23	6	12	0.41	224	1	0.29
9.4	0.24	0.32	0.9948	6.4	61	3.12	5	4.5	0.48	174	1	0.27
10.8	0.039	0.37	0.9922	6.7	34	3.26	7	2	0.6	125	1	0.17
9.9	0.037	0.16	0.9944	6.1	36	3.17	6	6.4	0.62	198	1	0.36
9.5	0.039	0.51	0.9982	7.5	62	3.06	5	14.8	0.6	204	1	0.31
9.4	0.042	0.48	0.9983	7.4	62	3.06	5	14.2	0.59	204	1	0.31
13.9	0.03	0.22	0.9894	5.9	19	3.41	7	2.4	0.78	135	1	0.34
9.5	0.046	0.24	0.998	6.1	51	3.35	5	12.1	0.45	172	1	0.25
12.3	0.035	0.43	0.9916	8.2	31	3.1	6	1.6	0.5	128	1	0.27
9.5	0.044	0.48	0.99655	6.2	78	3.25	6	10	0.47	240	1	0.25
9.2	0.04	0.25	0.9971	6.9	28	3.28	5	9.8	0.61	191	1	0.38
11	0.031	0.3	0.99115	5.8	21	3.44	6	1.5	0.55	57	1	0.2
10.5	0.033	0.34	0.9953	7	31	3.22	6	8.5	0.56	253	1	0.21
9.8	0.049	0.38	0.9958	6.9	44	3.3	6	8.1	0.54	176	1	0.18
9.8	0.049	0.38	0.9958	6.9	44	3.3	6	8.1	0.54	176	1	0.18
9.8	0.05	0.38	0.99585	7	42	3.3	6	8.1	0.54	173	1	0.2
9.5	0.042	0.28	0.99505	6.3	36	3.22	6	5	0.69	168	1	0.3
11	0.05	0.42	0.992	7.2	35	2.94	6	1.6	0.46	135	1	0.27
9.3	0.043	0.34	0.9962	6.7	41	3.42	7	8.8	0.4	113	1	0.11
9	0.052	0.19	0.99865	7.2	47	3.12	5	13.7	0.53	197	1	0.23
9.5	0.053	0.37	0.9992	6.9	59	3.37	7	15	0.82	178	1	0.22
8.8	0.053	0.44	1.0006	8.1	43	3.28	8	14.1	0.75	145	1	0.17
9	0.05	0.26	0.99625	7.2	37	3.09	5	7.3	0.43	157	1	0.31
9.6	0.046	0.33	0.9983	6.9	47	3.28	6	12.5	0.77	153	1	0.24
9.6	0.046	0.26	0.9975	6.4	57	3.17	5	13.2	0.41	205	1	0.31
9	0.046	0.17	0.9976	6	65	3.15	6	12	0.38	246	1	0.39
9.2	0.063	0.05	0.9932	6	17	3.21	6	1.5	0.56	120	1	0.41
11.7	0.036	0.42	0.9939	8.4	7	3.16	5	5.1	0.52	77	1	0.18
9	0.04	0.17	0.9939	6.2	24	3.01	5	2.8	0.46	125	1	0.3
12.4	0.021	0.29	0.98965	6.6	24	3.41	9	1.6	0.61	85	1	0.36
9.8	0.042	0.37	0.9958	7	36	3.26	6	7.2	0.56	167	1	0.21
12.5	0.031	0.36	0.99055	7.4	27	3.28	9	2	0.48	139	1	0.24
10.8	0.036	0.35	0.99315	6.9	33	3.21	7	1.7	0.54	101	1	0.19
9.3	0.035	0.37	0.99845	6.6	62	3.02	5	15.4	0.4	153	1	0.22
8.8	0.044	0.32	0.99975	8.7	35	3.12	7	13.4	0.47	169	1	0.23
9.4	0.042	0.49	0.99855	8.2	58	3.1	5	13.6	0.54	166	1	0.38
9.4	0.17	0.3	0.9946	6.6	60	3.18	5	4.8	0.47	166	1	0.3
9.1	0.041	0.42	0.9996	7.3	57	3.29	7	14.2	0.75	182	1	0.25
10	0.037	0.32	0.993	7.1	28	3.2	7	2.2	0.57	141	1	0.21
8.9	0.126	0.54	0.9932	6.2	37	3.23	6	1.4	0.37	110	1	0.16
9.9	0.046	0	0.994	5	43	3.3	6	6.4	0.63	166	1	0.31
11	0.052	0.38	0.9947	6.6	30	3.32	7	7.9	0.56	145	1	0.2
8.9	0.048	0.35	0.9975	6.1	63	3.08	5	12.8	0.4	229	1	0.28
11.1	0.047	0.42	0.994	8.4	9	3.06	4	1.6	0.65	101	1	0.19
8.8	0.049	0.31	0.9985	7.5	46	3.08	5	13	0.53	217	1	0.24
9.9	0.041	0.19	0.9943	6.3	22	3.15	5	5.8	0.63	145	1	0.34
11.9	0.031	0.34	0.99	7	27	3.06	6	1.4	0.39	107	1	0.24
8.9	0.036	0.62	0.9978	7.7	56	3.13	6	10.6	0.44	153	1	0.32
10	0.044	0.27	0.9967	6.5	69	3.17	6	12.9	0.43	215	1	0.26
9.8	0.047	0.23	0.9936	6.3	13	3.28	5	2.9	0.43	100	1	0.27
9.3	0.042	0.1	0.9932	5.4	26	3.36	5	2.8	0.38	80	1	0.595
9.5	0.057	0.33	0.9934	6.7	52	3.02	7	2.9	0.48	173	1	0.25
11.9	0.017	0.52	0.9929	7.7	21	3.14	7	5.9	0.4	84	1	0.17
8.9	0.039	0.43	0.99745	6.2	64	3.08	5	13	0.38	233	1	0.28
8.9	0.041	0.44	0.99505	6.1	61	3.12	5	6.7	0.4	230	1	0.27
10	0.044	0.29	0.9956	6.2	56	3.36	6	7.3	0.55	244	1	0.35
9.7	0.034	0.28	0.99485	6.2	40	3.14	5	7.5	0.6	197	1	0.34
9.5	0.037	0.46	0.9971	6.3	61	3.25	6	11.75	0.53	212	1	0.27
8.7	0.051	0.33	0.9965	6.5	16	3.28	7	8	0.44	131	1	0.18
10.2	0.058	0.29	0.9946	6.7	28	3.52	7	5	0.44	105	1	0.15
11.5	0.034	0.39	0.9942	7.3	8	3.18	5	6.4	0.46	84	1	0.25
9.5	0.043	0.26	0.9936	7.6	15	3.08	5	1.9	0.38	134	1	0.345
9.8	0.035	0.34	0.9965	7.6	26	3.08	6	9.7	0.49	143	1	0.22
12.3	0.037	0.36	0.992	8	34	3.13	7	5	0.57	101	1	0.42
11.5	0.035	0.43	0.9928	8.3	14	3.15	5	3.2	0.36	101	1	0.23
9.6	0.041	0.28	0.9928	6.5	43	3.13	6	1.8	0.37	188	1	0.34
12.3	0.017	0.01	0.9894	5.1	25	3.38	7	1.5	0.36	102	1	0.42
12.6	0.02	0.19	0.9898	6	24	3.32	7	1.7	0.47	110	1	0.27
9.8	0.15	0.71	0.9927	6	10	3.12	5	1.6	0.47	54	1	0.2
10.3	0.053	0.3	0.9941	7.4	45	3.12	6	5.2	0.45	163	1	0.3
9.5	0.048	0.47	0.9968	6.2	62	3.19	5	11.6	0.5	210	1	0.25
10.2	0.036	0.22	0.9926	7.6	19	3.03	5	2.8	0.29	113	1	0.39
11.4	0.041	0.42	0.9925	8.6	35	3.11	7	1.5	0.49	125	1	0.2
9.3	0.05	0.44	0.9972	6.3	50	3.19	4	11	0.57	245	1	0.6
10.5	0.054	0.41	0.9948	7.1	24	3.48	6	2.1	0.62	166	1	0.2
10.2	0.04	0.38	0.9942	8.8	39	3.16	6	1.8	0.67	148	1	0.17
9.3	0.034	0.34	0.9953	7.1	33	3.37	7	5.3	0.52	104	1	0.15
10.7	0.039	0.3	0.992	7.7	19	3.01	5	1	0.56	75	1	0.275
10.7	0.043	0.32	0.9952	7.3	18	3.24	4	5.2	0.45	104	1	0.49
10	0.046	0.1	0.9937	6.5	23	3.29	5	1.3	0.45	107	1	0.19
9	0.048	0.34	0.9962	7.3	29	3.1	5	7.5	0.54	152	1	0.24
10.7	0.06	0.34	0.9931	7.5	26	3.51	6	1.2	0.47	111	1	0.21
8.7	0.077	0.2	0.9944	5.3	48	3.3	4	1.1	0.54	166	1	0.3
9.4	0.07	0.28	0.9966	7	45	3.34	5	7.5	0.55	185	1	0.21
9.5	0.079	0.26	0.9956	6.7	35.5	3.31	5	4	0.68	216	1	0.26
10.9	0.072	0.37	0.9949	8.1	48	3.37	6	1.9	0.7	159	1	0.26
9.1	0.048	0.51	0.9942	6.4	62	3.08	6	5.5	0.45	172	1	0.3
11.1	0.037	0.34	0.9923	7.5	33	3.1	7	2.6	0.49	125	1	0.19
9.8	0.051	0.34	1.0004	6.5	56	3.49	5	16.3	0.42	197	1	0.26
9	0.059	0.33	0.9956	6.8	31	3.43	7	4.7	0.39	118	1	0.15
10.1	0.035	0.21	0.9942	6.3	29	3.36	7	5.1	0.33	142	1	0.23
11.2	0.027	0.45	0.992	5.2	21	3.55	8	3.8	0.49	128	1	0.24
9.4	0.038	0.25	0.995	6.3	52	3.28	6	5.8	0.38	155	1	0.27
11.8	0.028	0.42	0.9908	6.3	45	3.27	6	2.8	0.43	107	1	0.17
12.6	0.029	0.15	0.9903	7.2	27	3.3	7	2	0.59	87	1	0.37
10	0.047	0.17	0.9932	6.5	5	3.26	4	1.4	0.32	26	1	0.52
9.2	0.051	0.32	0.998	6.7	34	3.54	6	12.4	0.45	106	1	0.105
10.8	0.042	0.45	0.9944	9.8	11	2.93	5	1.6	0.46	124	1	0.36
12	0.042	0.29	0.992	6.4	24	3.23	7	5.85	0.32	99	1	0.125
10	0.053	0.42	0.994	8.7	27	2.99	5	2.3	0.43	114	1	0.22
9.5	0.048	0.34	0.9986	6.7	30	3.44	6	12.85	0.47	161	1	0.25
10.5	0.047	0.32	0.9933	7.2	27	3.26	5	1.5	0.44	132	1	0.25
9.5	0.041	0.32	0.9953	8.9	12	3.17	5	1.3	0.49	188	1	0.34
9.5	0.038	0.23	0.9952	6.7	61	3.14	5	7.2	0.35	220	1	0.25
8.9	0.041	0.18	0.9959	6.8	71	3.14	5	7.5	0.41	223	1	0.32
9.4	0.042	0	0.9937	6.1	24	3.31	4	1.3	0.38	79	1	0.6
10.6	0.035	0.07	0.992	5.3	26	3.5	6	1.3	0.35	102	1	0.395
9	0.037	0.3	0.9967	7.9	37	3.47	4	4.8	0.44	171	1	0.16
9	0.054	0.29	0.9998	7.8	23	3.16	6	16.85	0.38	135	1	0.3
10.2	0.043	0.41	0.9946	6.6	29	3.15	7	7.4	0.6	151	1	0.25
9.4	0.201	0.27	0.9942	5.7	73.5	3.27	6	4.1	0.38	189.5	1	0.26
10.4	0.03	0.32	0.9946	6	34	3.52	5	6.3	0.41	129	1	0.24
9.6	0.055	0.34	0.9945	7.5	50	3.29	6	1.3	0.8	153	1	0.14
10.2	0.042	0.29	0.9952	6.8	19	3.46	6	2	0.54	189	1	0.25
9.4	0.044	0.25	0.9949	7.2	31	3.23	5	4.5	0.36	109	1	0.2
10.1	0.029	0.45	0.996	7.5	20	3.12	6	9.1	0.36	125	1	0.42
8.9	0.065	0.64	0.9978	6.5	65	3.12	5	11.8	0.51	225	1	0.41
9.2	0.074	0.32	0.998	7.1	29	2.96	6	14.45	0.42	107	1	0.26
9.1	0.042	0.4	0.9998	7.3	44.5	3.36	7	14.75	0.41	129.5	1	0.22
9.2	0.038	0.45	0.9992	7.9	53	3.03	6	14.2	0.46	141	1	0.22
10.7	0.02	0.37	0.9939	7.4	14	3	7	6.9	0.48	93	1	0.25
9	0.046	0.38	0.9955	6.4	35	3.1	5	7.8	0.37	192	1	0.3
10.5	0.042	0.41	0.9922	9.2	14	2.96	6	1	0.25	59	1	0.28
9.2	0.301	0.38	0.9993	8	24	2.94	5	12.1	0.48	220	1	0.61
12.5	0.034	0.32	0.992	5.9	50	3.51	7	6	0.58	127	1	0.4
10.6	0.045	0.42	0.9959	8	41	3.17	5	7.1	0.43	169	1	0.28
12.7	0.023	0.37	0.9902	6.8	19	3.14	6	3.4	0.53	87	1	0.32
10.5	0.039	0.38	0.9943	6.9	20	3.1	5	6.5	0.42	110	1	0.18
12.7	0.023	0.37	0.9902	6.8	19	3.14	6	3.4	0.53	87	1	0.32
10.6	0.036	0.42	0.9938	7.4	33	3.4	7	2.1	0.41	187	1	0.18
10.1	0.037	0.22	0.9944	6.4	23	3.29	5	5.1	0.32	131	1	0.26
9.4	0.046	0.65	0.9946	7.3	28	3.33	6	1.4	0.62	157	1	0.18
9.4	0.05	0.68	0.9946	7.3	31	3.32	6	1.5	0.64	156	1	0.19
12.3	0.028	0.34	0.991	7.5	36	2.99	8	4.2	0.41	116	1	0.28
8.6	0.044	0.42	1.0003	8	45	3.21	7	14.6	0.69	163	1	0.22
12.1	0.028	0.34	0.9911	7.7	26	2.99	7	1.8	0.48	168	1	0.27
11.2	0.034	0.3	0.992	6.6	15	3.38	6	1.6	0.44	78	1	0.16
9.7	0.038	0.32	0.9966	7.5	54	3.04	6	9.2	0.56	191	1	0.23
11.5	0.042	0.28	0.9928	7.8	45	2.96	5	4.75	0.4	166	1	0.23
9.3	0.038	0.71	1	8	61	2.95	5	17.35	0.75	228	1	0.59
9.9	0.041	0.08	0.997	5.2	37	3.46	6	13.5	0.39	142	1	0.365
10.5	0.04	0.54	0.9938	9.6	16	2.94	5	1.3	0.43	160	1	0.25
9.5	0.052	0.43	0.994	8.4	20	2.85	5	2.1	0.46	104	1	0.19
8.8	0.058	0.32	0.9972	6.8	24	3.4	6	8.8	0.4	110	1	0.15
9.3	0.05	0.64	1.0004	7.9	69	3.15	7	17	0.51	210	1	0.16
10	0.048	0.3	0.9956	6.7	40	3.29	5	6.4	0.52	251	1	0.18
10.8	0.033	0.27	0.9959	8.4	37	2.99	6	12.15	0.39	116	1	0.58
10	0.04	0.32	0.9922	7.2	50	3.27	6	0.8	0.33	121	1	0.16
10.4	0.029	0.23	0.9931	7.6	13	3.04	5	2	0.33	151	1	0.54
11.9	0.039	0.4	0.9936	8.2	35	3.15	7	6.3	0.34	162	1	0.35
12.7	0.027	0.33	0.9906	6.5	40	3.28	7	3.9	0.39	130	1	0.37
12	0.048	0.32	0.9911	6.8	35	3.28	8	2.4	0.46	103	1	0.35
10.8	0.04	0.32	0.9922	6.5	31	3.36	7	1.4	0.54	132	1	0.19
12	0.042	0.41	0.9944	8.3	41	3.1	7	9.2	0.38	162	1	0.26
9.5	0.044	0.56	0.998	10.7	37	2.87	6	8.2	0.68	181	1	0.22
11.2	0.032	0.32	0.9911	6.2	30	3.28	7	1.7	0.41	130	1	0.3
9.5	0.042	0.29	0.9956	6.2	26	3.77	5	1.3	0.64	138	1	0.33
13.4	0.034	0.33	0.99	6.6	15	3.28	6	2.8	0.51	85	1	0.42
10	0.037	0.4	0.9926	8.1	73	3.06	6	0.9	0.34	180	1	0.19
12.2	0.029	0.47	0.99	6.2	23	3.26	6	1.4	0.42	81	1	0.16
11.4	0.033	0.28	0.993	7.1	16	2.91	6	3.6	0.78	78	1	0.19
8.9	0.05	0.36	0.9986	7.3	35	3.04	7	13.1	0.46	200	1	0.25
11.6	0.037	0.32	0.9934	7.1	39	3.31	6	5.9	0.4	97	1	0.26
10.2	0.044	0.74	0.992	6.9	18	3.13	5	1	0.55	132	1	0.35
11.4	0.052	0.49	0.991	6.8	26	3.25	6	0.9	0.35	128	1	0.22
12.7	0.045	0.49	0.99	7.2	34	3.05	6	1	0.34	140	1	0.22
9.6	0.051	0.49	0.9928	6.1	18	3.3	5	1.5	0.46	87	1	0.22
12.2	0.031	0.49	0.9893	7.1	32	3.07	6	1.2	0.33	99	1	0.29
11.3	0.042	0.49	0.9917	7.4	35	3.13	5	1.1	0.55	156	1	0.25
10.4	0.033	0.49	0.9923	8.2	28	3	7	1.1	0.68	81	1	0.18
8.8	0.05	0.74	0.998	7.2	56	3.03	5	13.6	0.44	162	1	0.26
12.2	0.044	0.74	0.9924	8.3	33	3.25	6	4.45	0.42	130	1	0.2
11.2	0.055	0.49	0.9917	7.4	18	3.23	6	1.2	0.47	150	1	0.16
11.5	0.036	0.49	0.9932	6.9	49	3.2	6	6.6	0.27	172	1	0.19
12.2	0.063	0.49	0.9911	6.3	35	3.38	6	1.2	0.42	92	1	0.27
12.2	0.044	0.74	0.9924	8.3	33	3.25	6	4.45	0.42	130	1	0.2
10.6	0.048	0.49	0.9946	7.9	27	3.24	6	4.5	0.42	133	1	0.11
10.8	0.048	0.49	0.9946	6.4	54	3.56	6	5.4	0.44	164	1	0.145
12.7	0.031	0.49	0.9926	8	46	3.16	8	9.1	0.27	151	1	0.44
10.2	0.044	0.74	0.9931	7	19	3.46	5	0.8	0.53	163	1	0.2
10.7	0.056	0.49	0.9948	7.7	20	3.32	6	2	0.49	124	1	0.16
10.2	0.05	0.49	0.9945	7.2	18	3.46	6	1.3	0.44	148	1	0.08
10.1	0.048	0.24	0.9942	6.6	26	3.37	6	1.7	0.6	124	1	0.25
10.4	0.046	0.49	0.9952	6.7	57	3.62	6	2.4	0.81	187	1	0.16
10	0.046	0.49	0.9964	8	47	3.14	5	9.4	0.48	188	1	0.3
12.3	0.03	0.49	0.9938	7.6	45	3.13	7	9.6	0.38	197	1	0.29
10.4	0.039	0.24	0.9934	6.7	6	3.41	5	1.1	0.32	62	1	0.62
9.8	0.041	0.49	0.9945	9.2	39	3.04	7	1.5	0.49	130	1	0.18
10.5	0.039	0.49	0.9926	7.3	34	3.14	6	1.3	0.77	136	1	0.155
10.6	0.037	0.49	0.9924	7.2	27	3.23	6	1.3	0.57	104	1	0.16
10.6	0.038	0.49	0.9928	7.3	28	3.2	6	1.1	0.72	99	1	0.14
9.9	0.034	0.49	0.9945	6.7	35	3.13	6	4.7	0.45	156	1	0.29
10.3	0.031	0.49	0.9932	8.5	17	3.03	6	1.5	0.4	122	1	0.15
8.7	0.122	0.99	0.9936	6.6	45	3.09	6	1.2	0.31	129	1	0.19
12.8	0.033	0.74	0.991	7.8	33	3.29	6	1.8	0.52	156	1	0.3
10.1	0.059	0.49	0.9958	9.1	10	3.15	5	2	0.46	112	1	0.28
9.2	0.046	0.49	0.9996	7.6	36	3.06	5	18.05	0.41	158	1	0.18
9.9	0.055	0.49	0.9946	7.5	19	3.33	5	1.8	0.44	110	1	0.19
11.5	0.039	0.49	0.9938	9	32	2.94	6	7.2	0.32	84	1	0.3
9.8	0.042	0.49	0.9948	9.3	34	3.11	5	1.3	0.46	147	1	0.31
12.3	0.028	0.74	0.991	7.9	30	3.08	6	1.2	0.82	165	1	0.14
11.4	0.167	0.49	0.9914	6.7	20	3.11	6	1.6	0.5	94	1	0.33
9.4	0.047	0.49	0.9938	7	37	2.95	6	3.8	0.4	136	1	0.29
13.5	0.034	0.24	0.98815	5.6	10	3.32	7	1.9	0.5	53	1	0.41
9.5	0.048	0.01	0.9942	6.7	39	3.24	5	2.8	0.35	137	1	0.41
12.9	0.032	0.49	0.9903	7.1	31	3.37	9	2.2	0.42	113	1	0.26
9	0.045	0.49	0.9957	6.9	61	3.09	6	7.3	0.4	206	1	0.34
11.5	0.057	0.49	0.9928	8.2	14	3.19	6	3.5	0.35	108	1	0.2
10	0.043	0.49	0.9952	7.8	29	3.21	5	7	0.33	149	1	0.49
9.2	0.239	0.49	0.9988	7.6	42	2.96	5	13	0.51	220	1	0.47
10.5	0.042	0.49	0.993	7.9	26	3.1	5	3.8	0.39	105	1	0.22
10.1	0.054	0.49	0.9948	6.4	42	3.27	6	7.5	0.52	151	1	0.22
